id;date;text_content;image_content;image_content_content_type
1;2024-02-01T03:11:41;ew;../fake-data/blob/hipster.png;image/png
2;2024-01-31T12:22:42;fooey;../fake-data/blob/hipster.png;image/png
3;2024-01-31T20:25:42;cuckoo condominium;../fake-data/blob/hipster.png;image/png
4;2024-02-01T05:36:28;pizza meaty;../fake-data/blob/hipster.png;image/png
5;2024-01-31T21:52:04;speedily lest;../fake-data/blob/hipster.png;image/png
6;2024-02-01T07:12:48;inside;../fake-data/blob/hipster.png;image/png
7;2024-01-31T10:55:51;where;../fake-data/blob/hipster.png;image/png
8;2024-02-01T05:54:07;all;../fake-data/blob/hipster.png;image/png
9;2024-01-31T10:46:39;boo;../fake-data/blob/hipster.png;image/png
10;2024-02-01T02:01:01;unnecessarily fooey psst;../fake-data/blob/hipster.png;image/png
